"Номер животного";"Дата рождения";"Дата архива";"Лактация";"Дата начала тек.лакт";"Дни в доении";"Статус коровы";"Дата осеменения";"Дата успешного осеменения";"Дни стельности";"Дата запуска тек.лакт";"Дата ожидаемого запуска";"Дата ожидаемого отела"
"4737";"27.02.2016";"26.04.2024";"6";"02.01.2024";"0";"Продана";"14.03.2024";"";"";"";"";""
"4778";"30.09.2015";"01.04.2024";"6";"27.06.2023";"0";"Продана";"";"";"";"";"";""
"4809";"16.12.2015";"24.05.2024";"7";"26.04.2024";"0";"Продана";"";"";"";"";"";""
"4857";"23.05.2016";"09.06.2024";"5";"04.09.2023";"0";"Продана";"25.01.2024";"25.01.2024";"";"31.05.2024";"";""
"4964";"14.09.2016";"31.01.2025";"7";"10.10.2024";"0";"Продана";"";"";"";"";"";""
"5052";"03.12.2016";"27.03.2024";"6";"11.03.2024";"0";"Продана";"";"";"";"";"";""
"5085";"14.07.2015";"22.01.2025";"7";"28.10.2023";"0";"Продана";"15.08.2024";"";"";"";"";""
"5095";"11.11.2015";"";"6";"11.12.2024";"52";"Дойная";"";"";"";"";"";""
"5190";"05.08.2016";"20.06.2024";"6";"11.12.2023";"0";"Продана";"02.05.2024";"02.05.2024";"";"";"";""
"5292";"16.10.2016";"10.07.2024";"6";"19.02.2024";"0";"Продана";"02.05.2024";"02.05.2024";"";"";"";""
"5297";"11.02.2016";"15.06.2024";"4";"26.10.2022";"0";"Продана";"17.08.2023";"";"";"";"";""
"5339";"17.11.2016";"11.06.2024";"6";"06.05.2024";"0";"Продана";"";"";"";"";"";""
"5349";"25.11.2016";"31.01.2025";"5";"04.04.2023";"0";"Продана";"18.01.2024";"";"";"";"";""
"5352";"28.11.2016";"23.11.2024";"7";"25.09.2024";"0";"Продана";"";"";"";"";"";""
"5354";"20.11.2016";"09.09.2024";"7";"26.08.2024";"0";"Продана";"";"";"";"";"";""
"5370";"09.01.2017";"25.06.2024";"6";"30.10.2023";"0";"Продана";"29.02.2024";"";"";"";"";""
"5374";"17.07.2016";"";"6";"16.01.2025";"16";"Дойная";"";"";"";"";"";""
"5424";"29.01.2016";"17.06.2024";"6";"14.06.2024";"0";"Продана";"";"";"";"";"";""
"5566";"02.02.2016";"";"7";"07.12.2024";"56";"Дойная";"";"";"";"";"";""
"5592";"02.09.2016";"";"6";"25.08.2024";"160";"Дойная";"";"";"";"";"";""
"5596";"25.08.2016";"13.12.2024";"6";"18.06.2024";"0";"Продана";"07.11.2024";"";"";"";"";""
"5612";"26.08.2016";"21.06.2024";"6";"05.06.2024";"0";"Продана";"";"";"";"";"";""
"5647";"19.02.2016";"26.04.2024";"6";"08.04.2023";"0";"Продана";"16.11.2023";"";"";"";"";""
"5718";"17.01.2016";"27.03.2024";"7";"21.03.2024";"0";"Продана";"";"";"";"";"";""
"5966";"16.09.2016";"15.08.2024";"6";"29.06.2024";"0";"Продана";"";"";"";"";"";""
"5994";"09.06.2015";"30.09.2024";"6";"01.04.2023";"0";"Продана";"24.08.2023";"";"";"";"";""
"6222";"24.04.2015";"09.01.2025";"7";"09.01.2024";"0";"Продана";"04.07.2024";"04.07.2024";"";"22.11.2024";"";""
"6280";"20.06.2015";"26.04.2024";"6";"15.03.2023";"0";"Продана";"23.11.2023";"";"";"";"";""
"7130";"09.03.2015";"22.10.2024";"8";"15.10.2024";"0";"Продана";"";"";"";"";"";""
"7238";"07.08.2015";"25.06.2024";"7";"03.12.2023";"0";"Продана";"15.02.2024";"";"";"";"";""
"7269";"06.09.2015";"31.01.2025";"7";"05.03.2024";"0";"Продана";"20.06.2024";"";"";"";"";""
"7313";"30.10.2015";"17.01.2025";"7";"10.03.2024";"0";"Продана";"17.10.2024";"";"";"25.10.2024";"";""
"7376";"09.01.2016";"05.07.2024";"7";"02.07.2024";"0";"Продана";"";"";"";"";"";""
"7381";"24.12.2015";"";"7";"10.12.2024";"53";"Дойная";"";"";"";"";"";""
"7547";"19.10.2016";"09.04.2024";"6";"22.03.2024";"0";"Продана";"";"";"";"";"";""
"7667";"09.09.2016";"26.03.2024";"5";"22.09.2023";"0";"Продана";"30.11.2023";"";"";"";"";""
"7685";"24.09.2016";"21.10.2024";"7";"18.10.2024";"0";"Продана";"";"";"";"";"";""
"7688";"27.09.2016";"23.12.2024";"6";"22.07.2024";"0";"Продана";"03.10.2024";"03.10.2024";"";"";"";""
"7787";"23.12.2016";"21.08.2024";"6";"04.10.2023";"0";"Продана";"18.02.2024";"18.02.2024";"";"02.08.2024";"";""
"7982";"09.07.2016";"";"7";"15.07.2024";"201";"Дойная";"26.09.2024";"";"";"";"";""
"8099";"07.10.2016";"05.12.2024";"6";"02.01.2024";"0";"Продана";"14.03.2024";"14.03.2024";"";"11.10.2024";"";""
"8167";"23.11.2016";"27.05.2024";"6";"16.03.2024";"0";"Продана";"";"";"";"";"";""
"8294";"05.07.2016";"22.03.2024";"5";"13.07.2023";"0";"Продана";"15.02.2024";"";"";"";"";""
"8359";"20.04.2015";"";"8";"27.10.2024";"97";"Дойная";"09.01.2025";"";"";"";"";""
"8368";"27.04.2015";"03.10.2024";"6";"05.10.2022";"0";"Продана";"25.05.2023";"";"";"";"";""
"8431";"25.06.2015";"26.03.2024";"8";"20.03.2024";"0";"Продана";"";"";"";"";"";""
"8928";"31.12.2015";"13.12.2024";"7";"17.12.2023";"0";"Продана";"13.06.2024";"13.06.2024";"";"";"";""
"8962";"15.01.2016";"";"7";"21.03.2024";"0";"Сухостой";"08.08.2024";"08.08.2024";"";"20.12.2024";"";""
"9057";"23.02.2016";"13.04.2024";"6";"26.03.2024";"0";"Продана";"";"";"";"";"";""
"9655";"03.11.2016";"14.05.2024";"6";"18.09.2023";"0";"Продана";"23.04.2024";"";"";"";"";""
"10938";"13.09.2016";"26.04.2024";"4";"01.06.2022";"0";"Продана";"09.02.2023";"";"";"";"";""
"10958";"22.10.2016";"29.08.2024";"5";"07.03.2023";"0";"Продана";"23.11.2023";"";"";"";"";""
"10967";"04.11.2016";"";"6";"15.09.2024";"139";"Дойная";"";"";"";"";"";""
"12000";"24.12.2023";"06.03.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12001";"27.12.2023";"06.03.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12002";"28.12.2023";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12003";"28.12.2023";"06.03.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12004";"28.12.2023";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12005";"28.12.2023";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12006";"30.12.2023";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12007";"02.01.2024";"28.02.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12008";"01.01.2024";"05.03.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12009";"02.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12010";"02.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12012";"03.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12013";"04.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12014";"05.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12015";"06.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12016";"07.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12017";"08.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12018";"09.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12019";"11.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12020";"11.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12021";"11.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12022";"15.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12023";"15.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12024";"17.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12025";"18.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12026";"20.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12027";"20.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"12028";"21.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"13916";"02.11.2016";"23.09.2024";"6";"19.02.2024";"0";"Продана";"02.05.2024";"02.05.2024";"";"20.09.2024";"";""
"13925";"05.11.2016";"25.06.2024";"5";"30.06.2023";"0";"Продана";"29.02.2024";"";"";"";"";""
"13950";"21.06.2015";"08.11.2024";"7";"20.10.2024";"0";"Продана";"";"";"";"";"";""
"14103";"14.12.2016";"18.06.2024";"6";"17.06.2024";"0";"Продана";"";"";"";"";"";""
"14861";"15.11.2015";"24.06.2024";"7";"14.01.2024";"0";"Продана";"02.05.2024";"02.05.2024";"";"";"";""
"15306";"26.11.2015";"03.03.2024";"5";"05.01.2023";"0";"Продана";"03.08.2023";"";"";"";"";""
"15351";"05.12.2015";"26.04.2024";"6";"28.01.2023";"0";"Продана";"03.08.2023";"";"";"";"";""
"17337";"06.11.2016";"13.12.2024";"7";"05.12.2024";"0";"Продана";"";"";"";"";"";""
"20014";"24.07.2017";"17.09.2024";"6";"29.08.2024";"0";"Продана";"";"";"";"";"";""
"20031";"19.04.2017";"20.09.2024";"6";"01.08.2024";"0";"Продана";"";"";"";"";"";""
"20083";"05.05.2017";"31.05.2024";"6";"26.05.2024";"0";"Продана";"";"";"";"";"";""
"20099";"09.05.2017";"09.09.2024";"6";"18.05.2024";"0";"Продана";"05.09.2024";"";"";"";"";""
"20106";"11.05.2017";"13.09.2024";"5";"17.11.2023";"0";"Продана";"29.02.2024";"29.02.2024";"";"";"";""
"20115";"13.05.2017";"";"6";"12.05.2024";"265";"Дойная";"25.07.2024";"";"";"";"";""
"20116";"13.05.2017";"";"7";"06.12.2024";"57";"Дойная";"";"";"";"";"";""
"20173";"29.05.2017";"05.07.2024";"6";"03.07.2024";"0";"Продана";"";"";"";"";"";""
"20174";"29.05.2017";"";"5";"18.08.2023";"0";"Сухостой";"04.07.2024";"04.07.2024";"";"13.12.2024";"";""
"20178";"30.05.2017";"31.01.2025";"5";"05.12.2023";"0";"Продана";"15.02.2024";"";"";"23.08.2024";"";""
"20187";"02.06.2017";"24.03.2024";"5";"14.11.2023";"0";"Продана";"29.02.2024";"";"";"";"";""
"20197";"04.06.2017";"";"6";"16.05.2024";"261";"Дойная";"";"";"";"";"";""
"20213";"10.06.2017";"";"6";"09.12.2024";"54";"Дойная";"";"";"";"";"";""
"20223";"12.06.2017";"28.12.2024";"6";"26.12.2024";"0";"Продана";"";"";"";"";"";""
"20254";"19.06.2017";"25.06.2024";"5";"09.04.2023";"0";"Продана";"18.01.2024";"";"";"";"";""
"20273";"24.06.2017";"26.04.2024";"4";"24.03.2023";"0";"Продана";"19.10.2023";"";"";"";"";""
"20284";"26.06.2017";"";"6";"28.10.2024";"96";"Дойная";"";"";"";"";"";""
"20302";"02.07.2017";"24.01.2025";"5";"12.12.2024";"0";"Продана";"";"";"";"";"";""
"20321";"16.07.2017";"27.03.2024";"5";"11.11.2023";"0";"Продана";"29.02.2024";"";"";"";"";""
"20330";"19.07.2017";"14.06.2024";"6";"30.05.2024";"0";"Продана";"";"";"";"";"";""
"20335";"20.07.2017";"13.11.2024";"5";"14.05.2024";"0";"Продана";"29.08.2024";"29.08.2024";"";"";"";""
"20362";"02.08.2017";"25.06.2024";"5";"28.05.2023";"0";"Продана";"28.12.2023";"";"";"";"";""
"20364";"05.08.2017";"26.04.2024";"5";"12.07.2023";"0";"Продана";"30.11.2023";"";"";"";"";""
"20365";"05.08.2017";"";"6";"04.07.2024";"212";"Дойная";"26.12.2024";"";"";"";"";""
"20394";"21.08.2017";"";"5";"24.06.2024";"222";"Осемененная";"05.09.2024";"05.09.2024";"";"";"";""
"20403";"26.08.2017";"";"6";"29.07.2024";"187";"Дойная";"10.10.2024";"";"";"";"";""
"20420";"31.08.2017";"";"6";"17.11.2024";"76";"Дойная";"";"";"";"";"";""
"20451";"13.09.2017";"29.08.2024";"4";"01.08.2023";"0";"Продана";"12.10.2023";"";"";"";"";""
"20459";"17.09.2017";"";"6";"08.12.2024";"55";"Дойная";"";"";"";"";"";""
"20486";"29.09.2017";"31.01.2025";"4";"02.09.2023";"0";"Продана";"20.06.2024";"";"";"";"";""
"20493";"02.10.2017";"20.06.2024";"5";"15.02.2024";"0";"Продана";"25.04.2024";"25.04.2024";"";"";"";""
"20498";"06.10.2017";"22.10.2024";"6";"20.10.2024";"0";"Продана";"";"";"";"";"";""
"20505";"09.10.2017";"30.09.2024";"4";"16.02.2023";"0";"Продана";"28.09.2023";"";"";"";"";""
"20514";"12.10.2017";"31.01.2025";"5";"04.09.2023";"0";"Продана";"20.06.2024";"";"";"";"";""
"20519";"13.10.2017";"31.01.2025";"4";"04.02.2023";"0";"Продана";"12.10.2023";"";"";"";"";""
"20535";"17.10.2017";"14.10.2024";"5";"20.03.2024";"0";"Продана";"18.07.2024";"18.07.2024";"";"";"";""
"20541";"19.10.2017";"";"5";"07.02.2024";"0";"Сухостой";"14.11.2024";"14.11.2024";"";"24.01.2025";"";""
"20548";"21.10.2017";"15.01.2025";"6";"01.01.2025";"0";"Продана";"";"";"";"";"";""
"20569";"02.11.2017";"31.01.2025";"4";"17.06.2023";"0";"Продана";"22.02.2024";"";"";"";"";""
"20571";"02.11.2017";"30.08.2024";"6";"21.07.2024";"0";"Продана";"";"";"";"";"";""
"20572";"03.11.2017";"23.04.2024";"5";"03.11.2023";"0";"Продана";"29.02.2024";"";"";"";"";""
"20581";"09.11.2017";"26.11.2024";"6";"23.11.2024";"0";"Продана";"";"";"";"";"";""
"20583";"09.11.2017";"21.06.2024";"5";"28.11.2023";"0";"Продана";"14.03.2024";"14.03.2024";"";"";"";""
"20599";"19.11.2017";"26.04.2024";"4";"07.05.2023";"0";"Продана";"16.11.2023";"";"";"";"";""
"20613";"26.11.2017";"";"5";"13.05.2024";"264";"Дойная";"";"";"";"";"";""
"20614";"26.11.2017";"24.10.2024";"5";"14.04.2024";"0";"Продана";"10.10.2024";"";"";"";"";""
"20615";"26.11.2017";"03.01.2025";"5";"22.12.2024";"0";"Продана";"";"";"";"";"";""
"20626";"01.12.2017";"03.10.2024";"4";"19.12.2022";"0";"Продана";"";"";"";"";"";""
"20627";"01.12.2017";"";"5";"02.07.2024";"214";"Дойная";"";"";"";"";"";""
"20644";"06.12.2017";"11.04.2024";"5";"02.04.2024";"0";"Продана";"";"";"";"";"";""
"20667";"12.12.2017";"25.09.2024";"5";"01.06.2024";"0";"Продана";"15.08.2024";"";"";"";"";""
"20680";"14.12.2017";"01.08.2024";"5";"14.08.2023";"0";"Продана";"04.01.2024";"04.01.2024";"";"";"";""
"20686";"16.01.2018";"29.08.2024";"3";"20.01.2022";"0";"Продана";"09.06.2022";"";"";"";"";""
"20706";"21.12.2017";"28.07.2024";"5";"23.03.2024";"0";"Продана";"06.06.2024";"06.06.2024";"";"";"";""
"20724";"23.12.2017";"26.04.2024";"4";"21.07.2023";"0";"Продана";"02.11.2023";"";"";"";"";""
"20731";"25.12.2017";"03.05.2024";"5";"15.04.2024";"0";"Продана";"";"";"";"";"";""
"20739";"27.12.2017";"26.03.2024";"5";"17.09.2023";"0";"Продана";"08.02.2024";"";"";"";"";""
"20741";"27.12.2017";"07.10.2024";"5";"05.10.2024";"0";"Продана";"";"";"";"";"";""
"20760";"02.01.2018";"23.03.2024";"5";"25.10.2023";"0";"Продана";"08.02.2024";"";"";"";"";""
"20782";"09.01.2018";"";"5";"11.06.2024";"235";"Дойная";"22.08.2024";"";"";"";"";""
"20788";"14.01.2018";"26.04.2024";"4";"26.01.2023";"0";"Продана";"12.10.2023";"";"";"";"";""
"20795";"16.01.2018";"31.01.2025";"5";"08.08.2024";"0";"Продана";"";"";"";"";"";""
"20800";"17.01.2018";"";"5";"22.03.2024";"316";"Дойная";"12.12.2024";"";"";"";"";""
"20807";"18.01.2018";"29.08.2024";"4";"27.11.2022";"0";"Продана";"09.02.2023";"";"";"";"";""
"20810";"19.01.2018";"02.05.2024";"5";"30.04.2024";"0";"Продана";"";"";"";"";"";""
"20819";"24.01.2018";"13.09.2024";"5";"31.08.2024";"0";"Продана";"";"";"";"";"";""
"20822";"25.01.2018";"31.01.2025";"6";"03.11.2024";"0";"Продана";"";"";"";"";"";""
"20832";"29.01.2018";"";"6";"31.10.2024";"93";"Дойная";"";"";"";"";"";""
"20841";"31.01.2018";"10.05.2024";"5";"28.04.2024";"0";"Продана";"";"";"";"";"";""
"20844";"31.01.2018";"";"6";"23.12.2024";"40";"Дойная";"";"";"";"";"";""
"20845";"02.02.2018";"09.01.2025";"5";"09.12.2023";"0";"Продана";"06.06.2024";"06.06.2024";"";"";"";""
"20849";"03.02.2018";"31.01.2025";"5";"17.06.2024";"0";"Продана";"29.08.2024";"29.08.2024";"";"";"";""
"20855";"06.02.2018";"11.06.2024";"5";"11.01.2024";"0";"Продана";"21.03.2024";"21.03.2024";"";"";"";""
"20856";"07.02.2018";"01.04.2024";"5";"29.03.2024";"0";"Продана";"";"";"";"";"";""
"20857";"07.02.2018";"27.06.2024";"4";"15.03.2023";"0";"Продана";"28.12.2023";"";"";"";"";""
"20877";"22.02.2018";"27.06.2024";"4";"19.04.2023";"0";"Продана";"04.01.2024";"";"";"";"";""
"20878";"23.02.2018";"29.10.2024";"5";"28.06.2024";"0";"Продана";"10.10.2024";"";"";"";"";""
"20879";"25.02.2018";"16.01.2025";"5";"28.12.2024";"0";"Продана";"";"";"";"";"";""
"20895";"29.03.2018";"23.08.2024";"4";"24.06.2023";"0";"Продана";"16.11.2023";"16.11.2023";"";"07.06.2024";"";""
"20898";"03.04.2018";"";"5";"10.12.2024";"53";"Дойная";"";"";"";"";"";""
"20902";"08.04.2018";"02.05.2024";"4";"31.05.2023";"0";"Продана";"08.02.2024";"08.02.2024";"";"";"";""
"20905";"12.04.2018";"09.05.2024";"4";"27.06.2023";"0";"Продана";"12.10.2023";"12.10.2023";"";"22.03.2024";"";""
"20925";"26.04.2018";"26.04.2024";"3";"20.08.2022";"0";"Продана";"";"";"";"";"";""
"20927";"27.04.2018";"11.10.2024";"5";"16.03.2024";"0";"Продана";"30.05.2024";"";"";"";"";""
"20929";"29.04.2018";"25.06.2024";"4";"13.04.2023";"0";"Продана";"06.07.2023";"";"";"";"";""
"20938";"06.05.2018";"30.09.2024";"3";"06.07.2023";"0";"Продана";"22.02.2024";"";"";"";"";""
"20940";"08.05.2018";"11.11.2024";"5";"07.11.2024";"0";"Продана";"";"";"";"";"";""
"20951";"21.05.2018";"28.10.2024";"4";"30.09.2023";"0";"Продана";"09.05.2024";"09.05.2024";"";"20.09.2024";"";""
"20952";"21.05.2018";"31.01.2025";"4";"23.03.2023";"0";"Продана";"04.01.2024";"";"";"";"";""
"20955";"24.05.2018";"06.08.2024";"5";"21.07.2024";"0";"Продана";"";"";"";"";"";""
"20976";"02.06.2018";"04.09.2024";"5";"16.06.2024";"0";"Продана";"";"";"";"";"";""
"20981";"04.06.2018";"23.01.2025";"4";"05.04.2024";"0";"Продана";"13.06.2024";"13.06.2024";"";"17.01.2025";"";""
"20984";"06.06.2018";"20.09.2024";"5";"01.07.2024";"0";"Продана";"12.09.2024";"";"";"";"";""
"21002";"15.06.2018";"09.12.2024";"4";"15.09.2023";"0";"Продана";"07.03.2024";"07.03.2024";"";"04.10.2024";"";""
"21021";"28.06.2018";"13.09.2024";"4";"06.03.2024";"0";"Продана";"16.05.2024";"";"";"";"";""
"21023";"29.06.2018";"";"5";"28.11.2024";"65";"Дойная";"";"";"";"";"";""
"21028";"01.07.2018";"27.12.2024";"5";"23.12.2024";"0";"Продана";"";"";"";"";"";""
"21041";"07.07.2018";"22.10.2024";"4";"31.12.2023";"0";"Продана";"18.04.2024";"18.04.2024";"";"";"";""
"21043";"07.07.2018";"13.01.2025";"5";"10.01.2025";"0";"Продана";"";"";"";"";"";""
"21049";"10.07.2018";"29.08.2024";"4";"12.05.2023";"0";"Продана";"18.01.2024";"";"";"";"";""
"21052";"11.07.2018";"26.09.2024";"5";"24.09.2024";"0";"Продана";"";"";"";"";"";""
"21053";"12.07.2018";"";"4";"18.10.2023";"0";"Сухостой";"04.07.2024";"04.07.2024";"";"06.12.2024";"";""
"21074";"20.07.2018";"11.12.2024";"5";"08.12.2024";"0";"Продана";"";"";"";"";"";""
"21087";"25.07.2018";"03.05.2024";"5";"15.04.2024";"0";"Продана";"";"";"";"";"";""
"21093";"26.07.2018";"31.01.2025";"5";"13.06.2024";"0";"Продана";"";"";"";"";"";""
"21118";"10.08.2018";"";"5";"26.01.2025";"6";"Дойная";"";"";"";"";"";""
"21127";"13.08.2018";"";"4";"03.03.2024";"335";"Дойная";"19.12.2024";"";"";"";"";""
